Disease,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,,Disease and Description,Description,Symptoms,General Explanation,Medical Explanation
fungal infection,"itching,skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Abnormal bleeding,"This means bleeding that is unusual in amount, duration, or location. It could be heavier than normal menstrual periods, bleeding between periods, nosebleeds that are hard to stop, or easy bruising.","Abnormal bleeding can be a symptom of various underlying conditions. Medically, it refers to hemorrhage that deviates from the expected physiological response to injury or normal bodily functions. This could indicate: Coagulation disorders: Problems with the blood's clotting ability (e.g., hemophilia, von Willebrand disease, low platelet count). Vascular disorders: Issues with blood vessels themselves (e.g., vasculitis, fragile capillaries). Medication side effects: Certain drugs, like anticoagulants (blood thinners) or NSAIDs, can increase bleeding risk. Organ dysfunction: Liver disease (which produces clotting factors) or kidney disease can impair clotting. Hormonal imbalances: Especially in women, hormonal shifts can lead to abnormal uterine bleeding. Trauma or injury: While often the cause, prolonged or excessive bleeding after trauma can point to underlying issues."
fungal infection,"skin rash,nodal skin eruptions,dischromic patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Acidity,"Commonly felt as a burning sensation in the stomach or chest (heartburn), often after eating. It can also involve a sour taste in the mouth.","Medically, ""acidity"" usually refers to gastroesophageal reflux disease (GERD) or acid indigestion/dyspepsia. It occurs when stomach acid flows back up into the esophagus (the tube connecting the mouth to the stomach). The stomach naturally produces strong acid for digestion. The lower esophageal sphincter (LES) is a muscular valve that normally prevents acid reflux. If the LES is weakened or relaxes inappropriately, acid can escape. Chronic or severe acidity can lead to complications like esophagitis (inflammation of the esophagus), strictures (narrowing of the esophagus), or Barrett's esophagus (a precancerous condition). Other causes can include hiatus hernia, certain foods, obesity, and stress."
fungal infection,"itching,nodal skin eruptions,dischromic patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Acute liver failure,"This is a very serious and sudden decline in the liver's ability to function. The liver stops doing its job of filtering toxins, producing essential proteins, and aiding digestion.","Acute liver failure (ALF) is a rapid onset of severe liver dysfunction in an individual without pre-existing liver disease. It's characterized by: Coagulopathy: Impaired blood clotting due to the liver's inability to produce clotting factors. Encephalopathy: Brain dysfunction due to the accumulation of toxins (like ammonia) that the liver normally clears. Jaundice: Yellowing of the skin and eyes due to bilirubin buildup. Causes: The most common causes include: Drug-induced liver injury: Often from acetaminophen (paracetamol) overdose, but many other medications can cause it. Viral hepatitis: Particularly hepatitis A, B, and E in severe cases. Autoimmune hepatitis: The body's immune system attacks the liver. Ischemic hepatitis: Reduced blood flow to the liver. Budd-Chiari syndrome: Blockage of veins that drain the liver. Metabolic disorders. ALF is a medical emergency requiring urgent treatment, often including liver transplantation."
fungal infection,"itching,skin rash,dischromic patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Altered sensation,"This refers to any change in how you feel things, such as touch, temperature, pain, or pressure. It might feel like numbness, tingling (""pins and needles""), burning, or an exaggerated response to normal sensations.","Medically known as paresthesia (for tingling/numbness) or dysesthesia (for abnormal, often unpleasant sensations), altered sensation typically indicates an issue with the nervous system. This could involve: Peripheral neuropathy: Damage to nerves outside of the brain and spinal cord. Common causes include diabetes, vitamin deficiencies, autoimmune diseases, infections, and toxins. Central nervous system (CNS) disorders: Conditions affecting the brain or spinal cord, such as stroke, multiple sclerosis, tumors, or spinal cord injury. Nerve compression: A pinched nerve, often due to a herniated disc, carpal tunnel syndrome, or other musculoskeletal issues. Circulatory problems: Reduced blood flow to an area can cause temporary numbness or tingling. Electrolyte imbalances."
fungal infection,"itching,skin rash,nodal skin eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Anxiety,"A feeling of worry, nervousness, or unease, typically about an event or something with an uncertain outcome. It can manifest as excessive worry, fear, or a sense of dread, sometimes accompanied by physical symptoms.","Medically, anxiety is a significant and often debilitating mental health condition characterized by persistent, excessive worry and fear. It goes beyond normal everyday stress. There are several types of anxiety disorders, including: Generalized Anxiety Disorder (GAD): Chronic, pervasive worry about a variety of things. Panic Disorder: Recurrent, unexpected panic attacks (intense surges of fear with severe physical symptoms). Social Anxiety Disorder: Intense fear of social situations. Specific Phobias: Intense fear of a particular object or situation. Physical symptoms often accompany anxiety: increased heart rate, shortness of breath, sweating, trembling, dizziness, nausea, muscle tension, and sleep disturbances. Anxiety can be caused by a combination of genetic predisposition, brain chemistry, personality, and life events. It's often treated with psychotherapy, medication (antidepressants, anxiolytics), or a combination."
fungal infection,"skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",Back pain,"Discomfort or aching anywhere along the spine, from the neck down to the tailbone. It can range from a dull ache to sharp, shooting pain.","Back pain is a very common complaint with numerous potential causes. Medically, it can be classified by location (cervical, thoracic, lumbar, sacral) and duration (acute, subacute, chronic). Common medical causes include: Musculoskeletal issues: Muscle strain or sprain: Often due to overuse, heavy lifting, or sudden movements. Herniated (slipped) disc: When the soft cushion between vertebrae bulges out and presses on nerves. Degenerative disc disease: Age-related wear and tear on spinal discs. Osteoarthritis: Breakdown of cartilage in the spinal joints. Spinal stenosis: Narrowing of the spinal canal, compressing nerves. Sciatica: Pain radiating down the leg due to compression of the sciatic nerve. Osteoporosis: Weakening of bones, leading to vertebral fractures. Scoliosis: Abnormal curvature of the spine. Kidney stones or infections: Can cause referred pain in the back. Infections: Such as discitis or osteomyelitis. Tumors: Though less common, tumors in the spine or surrounding areas can cause back pain."
fungal infection,"itching,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Belly pain,"Any discomfort or ache in the abdominal area, between the chest and the groin. It can be mild or severe, crampy or steady.","Abdominal pain is a very broad symptom and can originate from various organs within the abdomen or be referred pain from other areas. Medical classification often considers its location, character, and accompanying symptoms. Potential causes include: Gastrointestinal issues: Indigestion, gastritis, peptic ulcers: Inflammation or sores in the stomach/duodenum. Appendicitis: Inflammation of the appendix (typically right lower quadrant pain). Gallstones/Cholecystitis: Inflammation of the gallbladder (typically right upper quadrant pain, often after fatty meals). Diverticulitis: Inflammation of pouches in the colon. Irritable Bowel Syndrome (IBS): Functional bowel disorder with pain, cramping, bloating, and changes in bowel habits. Inflammatory Bowel Disease (IBD): Crohn's disease or ulcerative colitis. Bowel obstruction: Blockage in the intestines. Gastroenteritis: ""Stomach flu,"" viral or bacterial infection causing inflammation. Urinary tract issues: Kidney stones: Severe pain, often radiating to the back or groin. Urinary tract infection (UTI): Bladder pain, discomfort. Reproductive organ issues (in women): Menstrual cramps. Ovarian cysts. Endometriosis. Pelvic inflammatory disease (PID). Vascular issues: Aortic aneurysm (rare but serious). Referred pain: From conditions like pneumonia or heart attack (less common but possible)."
fungal infection,"itching,skin rash,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Blackheads,"Small, dark bumps on the skin, typically found on the face, especially the nose and chin. They look like tiny black dots.","Medically, blackheads are a type of comedo, which is a primary lesion of acne vulgaris. They form when hair follicles become clogged with: Sebum: The oily substance produced by sebaceous glands. Dead skin cells. The ""black"" appearance is not due to dirt, but rather the oxidation of melanin (pigment) in the clogged pore when exposed to air. Blackheads are ""open comedones"" because the pore opening is wide enough for the contents to oxidize. They are not inflamed like pimples (papules, pustules) but can sometimes progress to inflamed lesions."
fungal infection,"itching,skin rash,nodal skin eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Bladder discomfort,"An uncomfortable feeling in the lower abdomen, above the pubic bone, where the bladder is located. It might feel like pressure, pain, cramping, or burning.","Bladder discomfort can arise from various urological conditions. It's often associated with: Urinary Tract Infection (UTI): The most common cause, due to bacterial infection of the bladder (cystitis). Symptoms often include frequent urination, urgent need to urinate, burning sensation during urination, and cloudy/strong-smelling urine. Interstitial Cystitis (Painful Bladder Syndrome): A chronic condition causing bladder pain, pressure, and discomfort, along with frequent urination, without infection. Overactive Bladder (OAB): Characterized by sudden, urgent need to urinate, often with incontinence, due to involuntary bladder muscle contractions. Bladder stones: Can cause irritation and pain. Bladder cancer: Less common, but can present with discomfort, blood in urine, and changes in urination habits. Pelvic floor dysfunction: Issues with the muscles supporting the bladder. Sexually transmitted infections (STIs): Can cause urethral or bladder irritation."
fungal infection,"itching,skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Blister,"A small bubble on the skin filled with clear fluid. They often form due to friction, burns, or certain skin conditions.","Medically, a blister is a bulla (if large, >0.5 cm) or a vesicle (if small, <0.5 cm). It's a localized collection of fluid (serum, plasma, blood, or pus) within or beneath the epidermis (outer layer of skin). Blisters form when the upper layers of skin separate from the layers beneath, and fluid fills the space. Common causes include: Friction/Pressure: From ill-fitting shoes or repetitive rubbing. Burns: Thermal, chemical, or sunburn. Contact Dermatitis: Allergic reaction to a substance (e.g., poison ivy, nickel). Infections: Viral: Herpes simplex (cold sores, genital herpes), Varicella-zoster (chickenpox, shingles). Bacterial: Impetigo. Autoimmune diseases: Pemphigus, pemphigoid (rare conditions where the immune system attacks skin proteins). Insect bites. Certain medications. I will continue with the next batch of symptoms. Please let me know if these explanations are helpful or if you'd like any adjustments! I will continue with the next batch of symptoms from your list."
